id_interno,id_manz,od_f,choice,av_car,av_bus,av_motocarro,tt_car,tt_bus,tt_motocarro,exp_pm25_car,exp_pm25_bus,exp_pm25_motocarro,exp_bc_car,exp_bc_bus,exp_bc_motocarro,age_18_30,age_31_45,age_46_55,age_56_70,age_70plus,female,male,trans,mestizo,afrodesc,blanco,indigena,raizal,no_grupo_etnico,str1,str2,str3,income_lvl,disability,student,formaljob,informaljob,selfemply,vueltas,no_education,primaria,secundaria,posgrado,tech,pregrado,own_formalhouse,own_informalhouse,rent_formalhouse,rent_informalhouse,family_home,head_household
R60,M0875810000000000400712,3_6,3,0,1,1,0,0,10,0,0,26.281,0,0,6.397,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
R61,M0875810000000000400612,mean_bus,9,1,1,1,0,90,0,0,21.7,0,0,7.75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
R63,M0875810000000000400606,mean_bus,9,0,1,1,0,35,0,0,21.7,0,0,7.75,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
R64,M0875810000000000400603,mean_bus,9,0,1,1,0,20,0,0,21.7,0,0,7.75,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
R73,M0875810000000000240705,4_7,3,0,1,1,0,0,30,0,0,12.715,0,0,6.098,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
R78,M0875810000000000080316,5_7,3,0,1,1,0,0,20,0,0,40.717,0,0,14.97,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
R79,M0875810000000000400615,mean_bus,9,0,1,1,0,60,0,0,59.37,0,0,32.7,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
R80,M0875810000000000290628,mean_bus,9,0,1,1,0,60,0,0,59.37,0,0,32.7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
R84,M0875810000000000320418,mean_bus,9,0,1,1,0,50,0,0,59.37,0,0,32.7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
R86,M0875810000000000290916,mean_bus,9,1,1,1,0,90,0,0,59.37,0,0,32.7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
